,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,F1PC14,Cytoplasmic,0.0076,0.2074,0.6748,0.0216,0.0511,0.0376
1,K7ETB5,Cytoplasmic,0.0020,0.0605,0.8861,0.0114,0.0393,0.0007
2,A0A316QH20,Extracellular,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000
3,A0A316QFT1,Extracellular,0.0003,0.9995,0.0000,0.0000,0.0002,0.0000
4,A0A174A329,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
5,A0A3E4R3D9,Periplasmic,0.0012,0.2819,0.0075,0.0013,0.0266,0.6816
6,A0A336QWN0,Extracellular,0.0003,0.9947,0.0001,0.0003,0.0022,0.0024
7,A0A255TDF8,Extracellular,0.2308,0.4426,0.0035,0.0045,0.3027,0.0161
8,R6ZSG6,Periplasmic,0.0003,0.1035,0.0162,0.0008,0.0213,0.8579
9,A0A1Y4TN78,Cytoplasmic,0.0205,0.1621,0.6955,0.0124,0.0943,0.0152
10,A0A139LL14,Periplasmic,0.0035,0.1075,0.0316,0.0014,0.0445,0.8115
11,A0A174S049,Extracellular,0.0002,0.9998,0.0000,0.0000,0.0000,0.0000
12,A0A0W7TLT4,Extracellular,0.0008,0.9978,0.0000,0.0000,0.0012,0.0002
13,R7KXL2,Extracellular,0.0005,0.9899,0.0000,0.0001,0.0035,0.0061
14,A0A1C6CDL9,Extracellular,0.0801,0.8913,0.0036,0.0060,0.0008,0.0182
15,A0A329TM40,Extracellular,0.0030,0.4963,0.3870,0.0177,0.0753,0.0207
16,R6BAD6,Cytoplasmic,0.0056,0.0719,0.8785,0.0202,0.0212,0.0026
17,W4B617,Extracellular,0.0001,0.9999,0.0000,0.0000,0.0000,0.0000
18,R7FAG0,Extracellular,0.0889,0.7002,0.0005,0.0479,0.0528,0.1098
19,A0A069K227,Extracellular,0.0000,0.9988,0.0000,0.0011,0.0000,0.0000
20,R5M131,Periplasmic,0.0074,0.1125,0.0659,0.0033,0.0526,0.7583
21,A0A2V4WPB7,Extracellular,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001
22,J9NVQ4,Cytoplasmic,0.0002,0.0114,0.9381,0.0120,0.0367,0.0015
23,A0A329TVY8,Cytoplasmic,0.0026,0.3685,0.5303,0.0144,0.0662,0.0180
24,A0A252F7Q4,Outer Membrane,0.1042,0.1989,0.1118,0.0112,0.5438,0.0300
25,C0EG61,Extracellular,0.0179,0.5604,0.3841,0.0045,0.0233,0.0097
